metric,label,unit,n,mean,std,min,max
val_theta_mae,Theta MAE,,5,0.01612503497479601,0.0017000845622889152,0.014616022845591181,0.018705716142783758
val_v_mae,V MAE,p.u.,5,0.006893958633040623,0.000576701470011463,0.006555473823292795,0.007902690385875691
val_loss_total,Validation loss,,5,0.007538791187749116,0.00010860164786004716,0.007437580954240706,0.007716459948163218
val_pg_mae,Pg MAE,MW,5,4.561391489667953,0.09045963791668898,4.409384573505064,4.642572404493831
val_qg_mae,Qg MAE,MVAr,5,2.712973427160052,0.11612717853897203,2.6102140603584894,2.9019924753209754
val_branch_p_mae,Branch P MAE,MW,5,1.7550871734444295,0.06506228603648645,1.6870021964418014,1.8539662206658813
val_branch_q_mae,Branch Q MAE,MVAr,5,0.853369397931357,0.019581969261610172,0.8248919088620132,0.8741086336060179
val_kcl_p_mae,KCL P MAE,MW,5,0.5202049623969536,0.07346050256785365,0.4415113832288337,0.6028203047752106
val_kcl_q_mae,KCL Q MAE,MVAr,5,0.3204172248465579,0.06395339839526623,0.2549473456364771,0.40643487187652033
val_balance_p_mae,Balance P MAE,MW,5,2.2812031584991788,0.9939921087375083,1.3611497487936994,3.9011575268788943
val_balance_q_mae,Balance Q MAE,MVAr,5,0.984454725577093,0.3005922947376099,0.6010069292098558,1.2428544513051465
val_cost_mape,Cost MAPE,%,5,7.713242061307865,0.2474527362154873,7.358886570970172,7.999787855162002
